Application Date,Decision Date,Visa Type,Applicant Nationality,Processing Center,Season,Application Complexity,Document Completeness,Expedited Request,Processing Time (Days),Visa Status
2024-10-07,2024-12-10,Student,India,London,Peak,1.0,1.0,0.0,64,Approved
2024-05-25,2024-07-01,Tourist,France,Mumbai,Peak,,0.0,1.0,37,Denied
2024-01-27,2024-03-23,Work,China,Berlin,Peak,0.0,1.0,1.0,56,Approved
2024-07-08,2024-08-03,Tourist,UK,Mumbai,Peak,0.0,1.0,0.0,26,Approved
2024-10-22,2024-12-03,Tourist,Brazil,Beijing,Off-Peak,0.0,0.0,0.0,42,Approved
2024-11-07,2025-01-14,Work,UK,Sydney,Off-Peak,1.0,1.0,0.0,68,Approved
2024-06-02,2024-06-28,Tourist,USA,Beijing,Peak,0.0,,0.0,26,Approved
2024-08-16,2024-10-23,Student,Australia,Mumbai,Peak,0.0,0.0,0.0,68,Approved
2024-02-26,2024-04-13,Business,Germany,Beijing,Peak,0.0,,1.0,47,Approved
2024-07-16,2024-08-18,Student,France,Delhi,Peak,0.0,1.0,,33,Denied
2024-10-08,2024-12-31,Work,UK,Mumbai,Off-Peak,0.0,0.0,0.0,84,Approved
2024-08-10,2024-10-07,Student,Australia,Mumbai,Peak,0.0,0.0,1.0,58,Approved
2024-05-10,2024-08-05,Work,UK,Beijing,Off-Peak,1.0,0.0,1.0,87,Approved
2024-07-28,2024-10-02,Business,India,Berlin,Peak,1.0,0.0,,66,Denied
2024-09-30,2024-12-29,Work,China,London,Peak,,,,90,Approved
2024-08-26,2024-10-31,Work,France,Berlin,Peak,1.0,1.0,1.0,66,Approved
2024-11-19,2025-02-06,Work,India,Beijing,Peak,,,1.0,79,Approved
2024-07-05,2024-08-03,Tourist,UK,Delhi,Peak,1.0,1.0,1.0,29,Approved
2024-07-17,2024-08-24,Student,USA,Beijing,Off-Peak,0.0,1.0,0.0,38,Approved
2024-08-05,2024-09-02,Student,France,London,Off-Peak,0.0,1.0,,28,Approved
2024-08-28,2024-10-04,Student,UK,Delhi,Peak,0.0,1.0,1.0,37,Approved
2024-03-29,2024-05-03,Student,Australia,Beijing,Off-Peak,0.0,1.0,0.0,35,Denied
2024-11-27,2025-01-18,Student,Brazil,Paris,Peak,0.0,0.0,,52,Denied
2024-06-24,2024-08-20,Business,Brazil,Sydney,Off-Peak,1.0,0.0,0.0,57,Approved
2024-12-14,2024-12-24,Tourist,India,Mumbai,Off-Peak,0.0,1.0,1.0,10,Approved
2024-04-01,2024-04-04,Tourist,India,London,Off-Peak,0.0,1.0,1.0,3,Approved
2024-01-07,2024-01-22,Tourist,China,Berlin,Peak,,1.0,1.0,15,Approved
2024-03-22,2024-07-08,Work,Australia,Beijing,Peak,1.0,0.0,0.0,108,Approved
2024-08-10,2024-09-13,Tourist,USA,Beijing,Peak,0.0,0.0,1.0,34,Approved
2024-02-29,2024-05-30,Work,UK,Mumbai,Peak,1.0,1.0,0.0,91,Denied
2024-07-11,2024-09-07,Work,Brazil,Beijing,Off-Peak,0.0,,1.0,58,Approved
2024-01-07,2024-02-03,Tourist,Brazil,Berlin,Peak,0.0,1.0,0.0,27,Approved
2024-01-04,2024-03-19,Work,UK,Mumbai,Off-Peak,1.0,1.0,0.0,75,Approved
2024-01-27,2024-03-22,Student,Brazil,Mumbai,Peak,1.0,1.0,1.0,55,Denied
2024-09-13,2024-11-11,Business,France,Beijing,Off-Peak,1.0,0.0,,59,Denied
2024-01-27,2024-01-30,Tourist,Australia,Berlin,Off-Peak,0.0,1.0,1.0,3,Approved
2024-06-29,2024-09-16,Work,China,Berlin,Peak,0.0,0.0,,79,Denied
2024-06-14,2024-08-01,Student,India,London,Off-Peak,1.0,1.0,0.0,48,Approved
2024-11-15,2025-01-04,Business,Germany,Paris,Peak,1.0,0.0,1.0,50,Approved
2024-06-27,2024-08-12,Tourist,Brazil,London,Peak,1.0,0.0,1.0,46,Approved
2024-08-29,2024-11-11,Work,Brazil,Berlin,Peak,1.0,1.0,,74,Approved
2024-12-24,2025-01-02,Tourist,Brazil,Mumbai,Off-Peak,0.0,1.0,1.0,9,Approved
2024-01-09,2024-02-16,Tourist,Australia,Beijing,Peak,0.0,0.0,1.0,38,Approved
2024-09-07,2024-10-19,Business,China,Berlin,Off-Peak,1.0,1.0,0.0,42,Approved
2024-01-14,2024-03-14,Work,UK,Beijing,Peak,0.0,1.0,1.0,60,Approved
2024-08-08,2024-10-18,Student,China,Beijing,Peak,1.0,,,71,Approved
2024-05-10,2024-07-15,Student,USA,Paris,Off-Peak,,0.0,,66,Approved
2024-01-24,2024-03-20,Tourist,UK,Berlin,Peak,1.0,0.0,0.0,56,Denied
2024-04-26,2024-06-19,Work,India,Beijing,Off-Peak,0.0,1.0,1.0,54,Approved
2024-05-10,2024-08-05,Work,Germany,Beijing,Off-Peak,1.0,0.0,1.0,87,Approved
2024-11-29,2024-12-29,Business,Australia,London,Peak,1.0,1.0,1.0,30,Approved
2024-03-24,2024-05-15,Business,France,Sydney,Off-Peak,1.0,0.0,0.0,52,Approved
2024-06-12,2024-07-12,Student,France,Paris,Peak,0.0,1.0,1.0,30,Approved
2024-09-13,2024-10-23,Business,China,Paris,Off-Peak,1.0,1.0,0.0,40,Approved
2024-07-22,2024-09-22,Business,Brazil,Delhi,Peak,0.0,0.0,0.0,62,Denied
2024-05-09,2024-07-26,Work,Brazil,Beijing,Peak,,1.0,1.0,78,Approved
2024-06-27,2024-09-23,Work,France,Paris,Peak,0.0,0.0,0.0,88,Approved
2024-08-10,2024-11-09,Work,China,Delhi,Off-Peak,0.0,0.0,0.0,91,Approved
2024-01-08,2024-03-05,Work,France,Berlin,Off-Peak,1.0,1.0,1.0,57,Approved
2024-08-05,2024-09-24,Student,USA,Sydney,Off-Peak,0.0,0.0,0.0,50,Approved
2024-10-15,2024-12-08,Business,India,Berlin,Peak,1.0,0.0,1.0,54,Approved
2024-03-03,2024-04-28,Work,USA,Berlin,Off-Peak,1.0,1.0,,56,Denied
2024-05-11,2024-07-18,Student,India,Beijing,Off-Peak,1.0,0.0,1.0,68,Approved
2024-03-29,2024-05-02,Tourist,Germany,Delhi,Off-Peak,1.0,1.0,0.0,34,Approved
2024-10-17,2024-11-22,Business,France,Delhi,Peak,0.0,1.0,0.0,36,Approved
2024-10-30,2024-12-28,Work,USA,Delhi,Peak,0.0,,1.0,59,Approved
2024-02-12,2024-05-06,Work,Australia,Paris,Peak,1.0,1.0,,84,Denied
2024-10-07,2024-11-15,Student,Germany,Sydney,Off-Peak,0.0,,1.0,39,Denied
2024-01-27,2024-04-16,Work,USA,Paris,Off-Peak,1.0,0.0,1.0,80,Denied
2024-12-15,2025-03-17,Work,China,Delhi,Peak,1.0,1.0,0.0,92,Approved
2024-02-05,2024-03-02,Student,Australia,Delhi,Off-Peak,0.0,1.0,,26,Approved
2024-10-03,2024-12-05,Work,UK,Beijing,Peak,0.0,1.0,1.0,63,Approved
2024-06-02,2024-07-04,Tourist,France,Mumbai,Off-Peak,1.0,1.0,0.0,32,Denied
2024-08-29,2024-12-01,Work,India,Mumbai,Peak,1.0,1.0,0.0,94,Approved
2024-06-08,2024-06-28,Tourist,USA,Paris,Peak,0.0,1.0,0.0,20,Approved
2024-02-11,2024-04-26,Work,Australia,Beijing,Peak,,1.0,0.0,75,Approved
2024-06-15,2024-08-14,Work,Germany,Berlin,Off-Peak,1.0,,1.0,60,Approved
2024-09-25,2024-10-31,Business,India,Beijing,Off-Peak,,0.0,1.0,36,Denied
2024-02-27,2024-04-17,Business,USA,Mumbai,Peak,1.0,,0.0,50,Approved
2024-10-26,2024-12-02,Student,China,Sydney,Off-Peak,1.0,1.0,1.0,37,Denied
2024-01-12,2024-02-10,Business,China,London,Off-Peak,0.0,0.0,1.0,29,Approved
2024-12-25,2025-03-01,Student,Brazil,Beijing,Off-Peak,,0.0,1.0,66,Approved
2024-08-13,2024-09-22,Business,UK,Delhi,Peak,1.0,1.0,1.0,40,Approved
2024-11-18,2025-01-10,Tourist,China,Beijing,Peak,0.0,0.0,0.0,53,Approved
2024-01-12,2024-04-03,Work,Germany,Sydney,Off-Peak,1.0,0.0,1.0,82,Approved
2024-01-14,2024-03-07,Work,USA,London,Off-Peak,0.0,,0.0,53,Approved
2024-10-07,2025-01-07,Work,Brazil,Mumbai,Off-Peak,1.0,0.0,1.0,92,Denied
2024-01-25,2024-04-11,Work,USA,Paris,Off-Peak,,,0.0,77,Approved
2024-04-01,2024-04-24,Business,France,Berlin,Off-Peak,1.0,1.0,1.0,23,Denied
2024-10-13,2024-11-22,Business,France,Beijing,Off-Peak,1.0,1.0,0.0,40,Approved
2024-03-23,2024-06-04,Work,France,Sydney,Off-Peak,0.0,0.0,0.0,73,Approved
2024-02-09,2024-03-21,Business,Australia,Berlin,Peak,1.0,1.0,0.0,41,Approved
2024-03-02,2024-05-15,Work,UK,Mumbai,Peak,0.0,1.0,0.0,74,Approved
2024-08-06,2024-08-09,Tourist,USA,Paris,Off-Peak,0.0,1.0,1.0,3,Approved
2024-07-31,2024-09-06,Student,France,Delhi,Peak,0.0,1.0,1.0,37,Approved
2024-04-26,2024-06-07,Business,Germany,Sydney,Peak,1.0,1.0,0.0,42,Approved
2024-01-21,2024-02-12,Student,India,Paris,Off-Peak,0.0,1.0,1.0,22,Approved
2024-08-29,2024-09-20,Tourist,China,Berlin,Off-Peak,0.0,0.0,1.0,22,Approved
2024-12-08,2025-01-17,Business,Germany,London,Off-Peak,0.0,0.0,0.0,40,Approved
2024-05-31,2024-07-15,Tourist,Australia,Delhi,Peak,0.0,0.0,0.0,45,Denied
2024-02-20,2024-04-13,Student,Brazil,Sydney,Peak,0.0,0.0,,53,Approved
2024-08-10,2024-10-17,Work,USA,Sydney,Off-Peak,,1.0,0.0,68,Denied
2024-07-08,2024-08-16,Business,USA,Delhi,Peak,0.0,1.0,0.0,39,Denied
2024-10-14,2024-11-27,Work,France,Paris,Off-Peak,0.0,,1.0,44,Approved
2024-04-23,2024-06-02,Tourist,India,Beijing,Off-Peak,1.0,1.0,0.0,40,Approved
2024-04-28,2024-05-25,Tourist,Australia,Paris,Peak,1.0,1.0,1.0,27,Denied
2024-08-23,2024-10-07,Tourist,USA,London,Off-Peak,1.0,0.0,0.0,45,Approved
2024-10-09,2024-11-17,Tourist,China,Mumbai,Peak,0.0,0.0,1.0,39,Approved
2024-04-27,2024-07-11,Student,France,Paris,Peak,1.0,,0.0,75,Approved
2024-12-29,2025-02-01,Tourist,UK,Mumbai,Off-Peak,1.0,1.0,0.0,34,Denied
2024-08-18,2024-10-07,Work,Germany,Delhi,Off-Peak,0.0,1.0,1.0,50,Approved
2024-01-14,2024-04-03,Work,China,Mumbai,Off-Peak,1.0,1.0,0.0,80,Denied
2024-05-11,2024-07-13,Student,USA,Beijing,Peak,1.0,1.0,0.0,63,Denied
2024-09-16,2024-11-24,Work,Australia,Sydney,Peak,1.0,,1.0,69,Approved
2024-09-10,2024-11-26,Work,Germany,Paris,Off-Peak,,0.0,1.0,77,Approved
2024-01-30,2024-03-29,Student,USA,Beijing,Off-Peak,1.0,0.0,1.0,59,Denied
2024-11-14,2024-12-21,Business,USA,Sydney,Peak,0.0,0.0,1.0,37,Approved
2024-08-27,2024-11-14,Work,France,Delhi,Peak,1.0,1.0,1.0,79,Approved
2024-02-19,2024-04-07,Tourist,China,Paris,Peak,1.0,,1.0,48,Approved
2024-02-04,2024-03-06,Tourist,Germany,Paris,Peak,0.0,0.0,1.0,31,Approved
2024-05-05,2024-05-27,Tourist,China,Paris,Off-Peak,1.0,1.0,,22,Denied
2024-01-31,2024-02-26,Tourist,USA,London,Off-Peak,,1.0,,26,Approved
2024-09-26,2024-12-07,Work,USA,Berlin,Peak,0.0,0.0,1.0,72,Approved
2024-12-03,2025-01-17,Business,India,Paris,Off-Peak,1.0,0.0,1.0,45,Approved
2024-05-27,2024-08-09,Work,UK,Sydney,Off-Peak,1.0,1.0,0.0,74,Denied
2024-05-10,2024-07-13,Work,India,Paris,Off-Peak,0.0,1.0,0.0,64,Approved
2024-04-26,2024-06-14,Business,Brazil,Delhi,Peak,0.0,,1.0,49,Approved
2024-06-17,2024-07-24,Business,France,Paris,Off-Peak,,1.0,0.0,37,Approved
2024-02-26,2024-03-24,Tourist,China,Paris,Peak,1.0,1.0,1.0,27,Approved
2024-05-17,2024-06-19,Business,Australia,Sydney,Off-Peak,1.0,1.0,0.0,33,Approved
2024-05-22,2024-06-19,Business,China,Sydney,Off-Peak,1.0,1.0,1.0,28,Approved
2024-09-04,2024-10-08,Business,China,Berlin,Off-Peak,0.0,0.0,1.0,34,Approved
2024-07-15,2024-08-29,Student,Brazil,Sydney,Peak,,1.0,0.0,45,Approved
2024-02-16,2024-04-20,Tourist,Brazil,Paris,Peak,1.0,0.0,0.0,64,Denied
2024-10-09,2024-11-20,Business,China,Sydney,Off-Peak,0.0,0.0,,42,Approved
2024-09-02,2024-09-28,Business,France,Berlin,Off-Peak,0.0,0.0,1.0,26,Denied
2024-06-10,2024-07-21,Student,France,Sydney,Peak,0.0,1.0,0.0,41,Denied
2024-06-02,2024-07-30,Tourist,India,Beijing,Peak,1.0,0.0,1.0,58,Approved
2024-12-29,2025-03-25,Work,China,London,Peak,1.0,1.0,0.0,86,Approved
2024-06-11,2024-08-14,Work,China,Paris,Off-Peak,1.0,1.0,1.0,64,Denied
2024-12-15,2025-01-28,Student,Australia,London,Peak,0.0,,0.0,44,Approved
2024-05-27,2024-07-07,Student,Australia,Berlin,Peak,,,0.0,41,Denied
2024-08-14,2024-10-31,Work,India,Sydney,Off-Peak,0.0,0.0,0.0,78,Approved
2024-04-24,2024-06-11,Student,India,Beijing,Off-Peak,0.0,,1.0,48,Denied
2024-02-04,2024-03-18,Work,USA,London,Off-Peak,0.0,1.0,,43,Denied
2024-03-23,2024-04-08,Business,USA,Mumbai,Off-Peak,0.0,1.0,,16,Denied
2024-04-30,2024-06-10,Student,USA,Sydney,Peak,0.0,1.0,0.0,41,Approved
2024-11-03,2024-11-26,Business,Australia,Delhi,Off-Peak,0.0,,0.0,23,Approved
2024-12-26,2025-01-22,Tourist,Brazil,Beijing,Off-Peak,1.0,1.0,,27,Approved
2024-09-23,2024-10-28,Tourist,USA,Delhi,Off-Peak,,1.0,0.0,35,Denied
2024-11-19,2025-01-30,Student,Brazil,Delhi,Peak,0.0,0.0,0.0,72,Denied
2024-01-15,2024-02-27,Student,Australia,Berlin,Off-Peak,1.0,1.0,0.0,43,Approved
2024-12-13,2025-03-01,Work,Brazil,Delhi,Peak,0.0,1.0,0.0,78,Approved
2024-03-27,2024-05-17,Business,China,Beijing,Peak,0.0,0.0,1.0,51,Approved
2024-04-02,2024-07-10,Work,Germany,Beijing,Off-Peak,1.0,0.0,0.0,99,Approved
2024-07-08,2024-09-02,Business,India,Paris,Peak,1.0,0.0,1.0,56,Denied
2024-09-21,2024-11-12,Business,USA,Mumbai,Peak,1.0,1.0,0.0,52,Approved
2024-05-26,2024-08-02,Student,India,Sydney,Peak,1.0,0.0,1.0,68,Approved
2024-08-27,2024-09-22,Business,Australia,Paris,Peak,0.0,1.0,,26,Approved
2024-06-25,2024-08-18,Student,USA,Sydney,Off-Peak,0.0,0.0,0.0,54,Denied
2024-03-24,2024-04-12,Business,China,Paris,Peak,0.0,,1.0,19,Approved
2024-09-22,2024-12-06,Student,France,Delhi,Off-Peak,1.0,0.0,0.0,75,Denied
2024-12-15,2025-02-10,Business,USA,Beijing,Peak,1.0,0.0,1.0,57,Approved
2024-05-06,2024-06-06,Tourist,UK,Mumbai,Peak,,1.0,0.0,31,Approved
2024-05-01,2024-07-08,Student,China,Berlin,Peak,0.0,0.0,0.0,68,Approved
2024-06-08,2024-08-14,Student,India,Sydney,Peak,1.0,,1.0,67,Approved
2024-02-25,2024-04-28,Work,Australia,Berlin,Peak,,1.0,0.0,63,Approved
2024-10-31,2024-12-11,Business,Germany,Beijing,Peak,0.0,0.0,1.0,41,Approved
2024-11-20,2025-02-01,Business,USA,Delhi,Peak,1.0,0.0,0.0,73,Approved
2024-02-20,2024-04-22,Student,USA,London,Peak,1.0,0.0,1.0,62,Approved
2024-03-27,2024-06-28,Work,France,Paris,Off-Peak,1.0,0.0,0.0,93,Denied
2024-10-04,2024-11-02,Student,USA,Berlin,Peak,0.0,1.0,1.0,29,Denied
2024-04-18,2024-04-26,Tourist,Germany,Sydney,Peak,0.0,1.0,1.0,8,Approved
2024-10-06,2024-11-17,Student,UK,Berlin,Peak,0.0,1.0,0.0,42,Approved
2024-05-31,2024-06-24,Tourist,Germany,Berlin,Off-Peak,1.0,1.0,0.0,24,Approved
2024-04-26,2024-05-20,Tourist,Brazil,London,Peak,0.0,1.0,0.0,24,Approved
2024-02-15,2024-03-13,Student,UK,Berlin,Peak,0.0,1.0,1.0,27,Denied
2024-04-11,2024-05-02,Business,Brazil,London,Peak,0.0,1.0,1.0,21,Approved
2024-08-06,2024-09-09,Tourist,Germany,Mumbai,Peak,0.0,0.0,1.0,34,Approved
2024-12-02,2025-01-24,Student,Australia,Sydney,Peak,,1.0,0.0,53,Denied
2024-07-26,2024-10-08,Student,France,Paris,Peak,1.0,0.0,0.0,74,Approved
2024-06-17,2024-08-24,Work,Australia,London,Peak,,1.0,1.0,68,Approved
2024-03-07,2024-04-04,Business,China,Delhi,Off-Peak,,1.0,,28,Approved
2024-06-12,2024-07-20,Business,France,Berlin,Off-Peak,0.0,,,38,Approved
2024-03-12,2024-05-19,Business,Brazil,London,Peak,1.0,0.0,,68,Denied
2024-06-10,2024-07-24,Student,Germany,London,Off-Peak,1.0,1.0,0.0,44,Approved
2024-08-02,2024-09-27,Business,UK,Sydney,Off-Peak,,0.0,0.0,56,Approved
